publishedAt,authorDisplayName,comment,likeCount
2023-05-07T12:29:47Z,Muhd Nur Badeng,"Biarkan survey bilang apa saja,yg penting Anis presiden nya,",0
2023-05-07T12:28:34Z,Muhd Nur Badeng,Survey tdk masuk akal sehat,0
2023-05-07T12:28:17Z,Cholid Saepu Nurdin,saya sebagai rakyat ingin tshu mau dibawa kemana indonesia ko gampang sekali perubahan perubahan sudahlah presiden penerus jokowi adalah prabowo atau gsnjar,0
2023-05-07T12:23:20Z,Jonris Simarmata,ANEH MEDIA INI ! JUDUL DENGAN ISI BERBEDA .... KOK KONTROVERSI  ? PRESIDEN HARUS ORANG INDONESIA ASLI SESUAI UUD45 PASAL 6 AYAT 1 YANG ASLI SEBELUM DI AMANDEMEN,0
2023-05-07T12:15:38Z,romeo uno,"Arah politiknya Pak Jokowi sudah bisa di tebak, NKRI jangan sampai jatuh ketangan orang yang GAK BISA KERJA BISANYA CUMAN BANYAK NGOMONG dan ANTI KEBIJAKAN KERJA JOKOWI",0
2023-05-07T12:15:33Z,famili mng Asep,"Jgn percaya!<br>2024 IngsyaAlloh, pasti penuh kejutan.",0
2023-05-07T11:34:39Z,Ketut Rantau,Ini servey bayaran,0
2023-05-07T11:32:51Z,andre novi,Jawa timur tetap p ganjar sebagai capres 2024 dan siap memilihnya dan siap jadi relawan ganjar dan pasti menang orangnya tegas yang lain mana brani menolak ISRAIL   itu namanya penakut  sejak dulu pilihan presiden yang menang pasti orang jawa ya seperti P ganjar,0
2023-05-07T11:30:18Z,Freddy Yudianto,PERUBAHAN = membaik atau memburuk atau diganti yang mirip ? Membaik bisa karena seorang PRESIDEN saja ? Membaik lebih perlu upaya semua warga negara.,0
2023-05-07T11:24:11Z,Ilham Ranu,Survei itu bagi orang bodo ha nya di anggap dagang obat mana yg beli dapet,0
2023-05-07T11:22:06Z,Putu Siria Sumbawa,Pk Ganjar akan terus naik disurvey berikutnya.,0
2023-05-07T11:04:31Z,Zul Zul,Pak ganjar nasionalisme terbaik 🇮🇩🇮🇩👍👍💪💪💪💪💪🥰🥰🥰🥰🥰,2
2023-05-07T12:17:42Z,Ujung Negeri,👍👍👍👍💪💪💪💪,0
2023-05-07T10:17:11Z,Alya asyifa,hatii2 dg survei abal2 .....survei buzzerp........,0
2023-05-07T10:13:47Z,Radhika Adyatma,Ganjar Pranowo Yess<br>Pribumi Asli. Pasti RI.1,0
2023-05-07T09:48:20Z,Nanang Utomo,Ganjar Pranowo next presiden harga mati yg lainnya nyungsep bro,0
2023-05-07T09:44:49Z,munawar khalil alba,Yg ingin meneruskan utang tunjuk tangan,0
2023-05-07T09:34:31Z,Azril Alfa,Sulteng mendukung pak Prabowo,0
2023-05-07T09:23:03Z,Muhammad Akib,"Bingung saya lihat pak PRABOWO, ambisi nya itu lo udh kalah berkali kali masih aja nyalon. Coba donk bercermin kasih dgn yg muda muda. Ambisi mu itu lo",0
2023-05-07T09:20:57Z,Muhammad Akib,"Yg pasti GANJAR, PDIP TERBUKTI JAGA NKRI 10 TAHUN",0
2023-05-07T08:50:07Z,Hermenegildo Sarmento Lopes,PD Indonesia pernah memerintahkan. Apa perubahan yg dimaksud karena kepuasan terhdp JK MA udh 78%,0
2023-05-07T08:36:43Z,Abdullah Alamudy,Yg penting post truth pak burhan,0
2023-05-07T08:25:52Z,Siswanto Palembang,Ganjar mantab joos,0
2023-05-07T08:22:49Z,Pristi Agung,"Yg jelas Estafet, agar gak salah tangan urus NKRI.",0
2023-05-07T08:19:41Z,Syafri Halim,Anies tetap saja peringkat ketiga sekarang. Tapi 2024 anies akan menjadi Presiden   RI.,0
2023-05-07T08:18:34Z,Kuncara Putra,Hanya satu yg sy kuwatirkan yakni Tentang SDM masyarakat Indonesia. Tetapi jika hasil pemilu 2024 yg menjadi Presiden wapres adalah Anis +AHY maka itu menunjukan bahwa SDM masyarakat Indonesia sdh mulai membaik. 🤲🤲🤲,0
2023-05-07T07:49:57Z,A Triana,"Maknyuuuus Ganjar yg pro Pancasila (dan anti HTI , FPI, radikal) ❤🇮🇩😍",0
2023-05-07T07:47:46Z,Supriyono,"Mohon maaf bpk dari PKB, justru sebaliknya siapapun Capresny klu Cawapresnya Muhaimin Iskandar, siap2 aja untuk kalah, dan AHY belum waktunya jadi Cawapres, ini ramalan loh",0
2023-05-07T07:42:38Z,Laily Kuriyah,Dulu se olah2 P Jokowi dukung P Prabowo tetapi setelah P Ganjar dideklarasikan PDIP ya dilihat saja Gerindra akan melorot jatuh yakin itu..,0
2023-05-07T07:36:26Z,muhammad fathoni,Pendukung Ganjar = cebong<br>Pendukung anies.  = Kadrun<br>Kira kira nama buat pendukung Prabowo apa ya ???,0
2023-05-07T07:31:42Z,Andry Hartanto,PEMILU BELUM TAPI SUDAH TAU SIAPA YG MENANG😃😄😄,0
2023-05-07T07:04:13Z,teddy tjandra,Rank 3 Anies metro bosmu masih kerja di metro itu jagoannya rank 3🫢🫣,0
2023-05-07T06:53:38Z,Agus Sukmono,Anis itu di dalam survei selalu no 3 ya broooi......... Tapi kok selalu ditakuti semua pihak ya broooo.......... Masuk akal nggak....... ????? Salam akal sehat .,0
2023-05-07T06:45:15Z,Majida Salim,nggak benar suprai burhan,0
2023-05-07T06:29:19Z,Erman Sihombing,Ada sesuatu tidak beres kok yang diajukan orang orang menjadi pemimpin itu yang tidak ada  prestasinya tidak ada bagi Rakyat bangsa dan Negara tapi yang ada prestasinya tidak dilihat seperti menangani mengatasi musibah covid jadi kelihatan ada sesuatu  kebutaan bagi Rakyat Indonesia untuk mencalonkan dipilih,0
2023-05-07T06:14:59Z,Mawar Merah,Mari rakyat Idonesia....<br>☝️☝️☝️🇮🇩🇮🇩🇮🇩<br>kita rapatkan barisan bersatu pilih GANJAR  PRANOWO berduet dgn ERICK TOHIR....👍👍❤❤ Smg sukses menuju RI.1.<br>AMIN...🤲🤲,11
2023-05-07T12:41:00Z,Ateng Jaelani,"Ganjar harus sama Eko Kuntadi bro,pasti sama&quot; nonton forno",1
2023-05-07T10:34:26Z,Imam Turmudi,Tidak yakin ah...,1
2023-05-07T06:08:18Z,Suparno Kirun,Yg di survey oleh burhanudin itu penghuni alam ghaib🤣,0
2023-05-07T06:00:51Z,Rev. Lambas Pangihutan,Walau berbeda tetap menjaga NKRI,0
2023-05-07T05:59:57Z,Aa Jaya,Seharusnya lembaga survey itu kali2 yg ditonjol kn itu prestasi kinerja dan penghargaan siapa yg paling bagus.,1
